,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,31,22.2,137,6.17,98,22,9,4,2,1,25,1.13,17,4,2,1,0,0,1,Matches
Keylor Navas\Keylor-Navas,cr CRC,GK,32,21.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Thiago Silva\Thiago-Silva,br BRA,DF,34,17.5,14,0.80,13,0,0,0,0,1,2,0.11,2,0,0,0,0,0,0,Matches
Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,29,18.4,57,3.10,54,0,1,0,0,2,6,0.33,6,0,0,0,0,0,0,Matches
Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,20,16.8,91,5.41,60,2,19,6,4,0,12,0.71,9,0,2,0,1,0,0,Matches
Juan Bernat\Juan-Bernat,es ESP,DFMF,26,15.4,25,1.62,22,0,0,1,2,0,6,0.39,4,0,0,1,1,0,0,Matches
Marco Verratti\Marco-Verratti,it ITA,MF,26,16.5,55,3.34,44,2,2,0,2,5,13,0.79,12,1,0,0,0,0,0,Matches
Marquinhos\Marquinhos,br BRA,MFDF,25,16.4,18,1.10,15,1,1,1,0,0,3,0.18,2,0,0,1,0,0,0,Matches
Neymar\Neymar,br BRA,MFFW,27,14.6,96,6.56,61,7,13,3,11,0,17,1.16,13,0,2,0,1,0,1,Matches
Mauro Icardi\Mauro-Icardi,ar ARG,FW,26,14.1,32,2.27,26,0,3,1,2,0,9,0.64,5,0,2,1,1,0,0,Matches
Thomas Meunier\Thomas-Meunier,be BEL,DF,27,13.8,25,1.81,25,0,0,0,0,0,3,0.22,3,0,0,0,0,0,0,Matches
Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,23,13.6,7,0.51,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Abdou Diallo\Abdou-Diallo,fr FRA,DF,23,13.3,10,0.75,7,1,0,2,0,0,1,0.07,1,0,0,0,0,0,0,Matches
Pablo Sarabia\Pablo-Sarabia,es ESP,FWMF,27,12.9,39,3.02,28,2,2,5,1,1,5,0.39,2,0,0,2,1,0,0,Matches
Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,26,9.5,12,1.26,8,1,1,0,2,0,3,0.31,1,0,1,0,1,0,0,Matches
Leandro Paredes\Leandro-Paredes,ar ARG,MF,25,9.0,21,2.32,17,0,1,1,1,1,2,0.22,2,0,0,0,0,0,0,Matches
Julian Draxler\Julian-Draxler,de GER,MF,25,7.6,21,2.76,15,2,2,1,0,0,8,1.05,4,1,1,1,0,0,1,Matches
Colin Dagba\Colin-Dagba,fr FRA,DF,20,7.4,10,1.35,6,1,2,0,0,1,1,0.13,1,0,0,0,0,0,0,Matches
Edinson Cavani\Edinson-Cavani,uy URU,FW,32,6.7,23,3.42,18,0,3,2,0,0,2,0.30,1,0,0,1,0,0,0,Matches
Ander Herrera\Ander-Herrera,es ESP,MFDF,29,6.1,16,2.63,14,0,0,1,1,0,2,0.33,2,0,0,0,0,0,0,Matches
Thilo Kehrer\Thilo-Kehrer,de GER,DF,22,5.3,6,1.13,6,0,0,0,0,0,1,0.19,1,0,0,0,0,0,0,Matches
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,30,5.0,12,2.39,6,0,1,1,3,0,5,1.00,2,0,1,1,0,0,1,Matches
Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,17,5.0,4,0.80,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Alphonse Areola\Alphonse-Areola,fr FRA,GK,26,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sergio Rico\Sergio-Rico,es ESP,GK,25,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mitchel Bakker\Mitchel-Bakker,nl NED,DF,19,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Marcin Bułka\Marcin-Bulka,pl POL,GK,19,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Adil Aouchiche\Adil-Aouchiche,fr FRA,MF,17,0.7,1,1.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Loïc Mbe Soh\Loic-Mbe-Soh,fr FRA,DF,18,0.6,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Arthur Zagre\Arthur-Zagre,fr FRA,MF,17,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jesé\Jese,es ESP,FW,26,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,27.0,735,27.22,555,41,61,30,32,12,126,4.67,90,6,11,9,6,0,4,
Opponent Total,,,26.1,27.0,409,15.15,278,46,34,15,23,12,39,1.44,26,2,4,4,2,0,1,